Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,clab-clos-large-borderleaf1,Ethernet3,192.168.110.29/31,spine,clab-clos-large-spine1,Ethernet52,192.168.110.28/31
l3leaf,clab-clos-large-borderleaf1,Ethernet4,192.168.110.31/31,spine,clab-clos-large-spine2,Ethernet52,192.168.110.30/31
l3leaf,clab-clos-large-borderleaf1,Ethernet5,192.168.110.33/31,spine,clab-clos-large-spine3,Ethernet52,192.168.110.32/31
l3leaf,clab-clos-large-borderleaf2,Ethernet3,192.168.110.35/31,spine,clab-clos-large-spine1,Ethernet53,192.168.110.34/31
l3leaf,clab-clos-large-borderleaf2,Ethernet4,192.168.110.37/31,spine,clab-clos-large-spine2,Ethernet53,192.168.110.36/31
l3leaf,clab-clos-large-borderleaf2,Ethernet5,192.168.110.39/31,spine,clab-clos-large-spine3,Ethernet53,192.168.110.38/31
l3leaf,clab-clos-large-leaf1,Ethernet3,192.168.108.1/31,spine,clab-clos-large-spine1,Ethernet2,192.168.108.0/31
l3leaf,clab-clos-large-leaf1,Ethernet4,192.168.108.3/31,spine,clab-clos-large-spine2,Ethernet2,192.168.108.2/31
l3leaf,clab-clos-large-leaf1,Ethernet5,192.168.108.5/31,spine,clab-clos-large-spine3,Ethernet2,192.168.108.4/31
l3leaf,clab-clos-large-leaf2,Ethernet3,192.168.108.7/31,spine,clab-clos-large-spine1,Ethernet3,192.168.108.6/31
l3leaf,clab-clos-large-leaf2,Ethernet4,192.168.108.9/31,spine,clab-clos-large-spine2,Ethernet3,192.168.108.8/31
l3leaf,clab-clos-large-leaf2,Ethernet5,192.168.108.11/31,spine,clab-clos-large-spine3,Ethernet3,192.168.108.10/31
l3leaf,clab-clos-large-leaf3,Ethernet3,192.168.108.13/31,spine,clab-clos-large-spine1,Ethernet4,192.168.108.12/31
l3leaf,clab-clos-large-leaf3,Ethernet4,192.168.108.15/31,spine,clab-clos-large-spine2,Ethernet4,192.168.108.14/31
l3leaf,clab-clos-large-leaf3,Ethernet5,192.168.108.17/31,spine,clab-clos-large-spine3,Ethernet4,192.168.108.16/31
l3leaf,clab-clos-large-leaf4,Ethernet3,192.168.108.19/31,spine,clab-clos-large-spine1,Ethernet5,192.168.108.18/31
l3leaf,clab-clos-large-leaf4,Ethernet4,192.168.108.21/31,spine,clab-clos-large-spine2,Ethernet5,192.168.108.20/31
l3leaf,clab-clos-large-leaf4,Ethernet5,192.168.108.23/31,spine,clab-clos-large-spine3,Ethernet5,192.168.108.22/31
l3leaf,clab-clos-large-leaf5,Ethernet3,192.168.108.25/31,spine,clab-clos-large-spine1,Ethernet6,192.168.108.24/31
l3leaf,clab-clos-large-leaf5,Ethernet4,192.168.108.27/31,spine,clab-clos-large-spine2,Ethernet6,192.168.108.26/31
